Filename,Initial Clause Count,Processed Clause Count,Unprocessed Clause Count,Factor Count,Resolvent Count,Tautologies Deleted,Resolution Result
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD072-2.p,34,858,196875,1291,196423,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD016-5.p,35,524,217472,925,217048,12,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD052-1.p,34,851,198274,1049,198057,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD084-3.p,33,499,219588,1045,219027,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-4.p,34,528,243265,1078,242700,19,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD028-3.p,34,517,221206,991,220712,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD010-5.p,28,469,229850,1111,229201,21,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD013-4.p,35,531,226162,955,225716,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD064-3.p,29,488,243187,1127,242543,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD045-4.p,31,487,214387,1012,213845,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD037-1.p,32,828,187471,1451,186831,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD096-2.p,47,888,204535,719,204669,12,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD025-4.p,35,523,216829,933,216396,12,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-2.p,35,825,182869,1082,182592,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD096-4.p,46,582,218204,855,217891,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD071-4.p,33,512,229146,1037,228606,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-3.p,32,493,221645,1057,221067,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD036-3.p,34,516,220192,988,219700,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD058-1.p,33,842,190647,1463,190008,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD003-1.p,30,830,190875,1545,190145,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD073-2.p,34,854,195639,1275,195199,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD038-1.p,32,830,188598,1463,187948,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD013-1.p,34,857,198058,1071,197825,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD047-1.p,33,836,192320,1218,191920,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD019-3.p,29,470,217696,1054,217101,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD072-3.p,31,512,254725,1135,254095,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD081-3.p,35,532,239223,1060,238678,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD045-3.p,29,492,241832,1115,241201,21,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD029-3.p,34,527,232824,1018,232313,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD016-3.p,33,520,232203,1012,231692,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD076-3.p,33,517,238049,1085,237468,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD025-1.p,34,857,198054,1071,197821,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD096-1.p,37,861,194589,952,194476,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD039-1.p,30,833,183528,1606,182740,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD007-1.p,29,835,183623,1638,182806,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD069-1.p,33,840,189320,1442,188700,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD056-1.p,29,821,179800,1601,179006,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD032-1.p,31,826,180897,1592,180115,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD099-2.p,36,866,196831,1272,196404,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD054-4.p,37,539,221078,937,220655,12,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD100-4.p,41,567,219220,844,218908,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD070-4.p,33,513,231117,1040,230575,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD081-4.p,39,549,218050,923,217648,11,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD043-1.p,29,827,182840,1607,182046,15,Time Out
