Filename,Initial Clause Count,Processed Clause Count,Unprocessed Clause Count,Factor Count,Resolvent Count,Tautologies Deleted,Resolution Result
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD097-1.p,32,839,190057,1489,189390,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD074-4.p,36,539,230541,991,230067,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD010-1.p,28,828,176566,1811,175570,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD008-4.p,33,535,252836,1070,252286,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD050-4.p,38,564,237010,971,236578,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD095-1.p,37,855,192587,937,192483,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD022-1.p,32,844,195422,1303,194946,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD099-4.p,35,510,215588,974,215102,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD067-4.p,32,511,237979,1071,237405,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD049-4.p,38,556,227365,941,226954,12,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD033-3.p,31,495,230604,1080,230007,19,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD051-4.p,44,583,222009,863,221691,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD067-3.p,30,502,246826,1118,246202,22,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD070-3.p,31,505,243172,1108,242558,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD055-1.p,33,851,196164,1300,195697,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD001-3.p,30,498,242373,1094,241767,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD050-1.p,35,863,201302,1074,201071,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD062-1.p,31,832,189784,1514,189086,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD011-1.p,30,832,183413,1613,182617,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD077-4.p,37,542,228406,981,227943,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD053-2.p,48,864,212329,685,212469,9,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD037-3.p,31,500,235856,1091,235254,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD012-3.p,31,502,236891,1102,236280,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD089-1.p,31,835,183324,1603,182540,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD070-2.p,34,862,198136,1300,197679,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD086-1.p,31,835,183230,1597,182452,15,Time Out
