Filename,Initial Clause Count,Processed Clause Count,Unprocessed Clause Count,Factor Count,Resolvent Count,Tautologies Deleted,Resolution Result
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD097-1.p,32,839,190057,1489,189390,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD074-4.p,36,544,236160,1002,235680,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD010-1.p,28,815,172931,1749,171984,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD008-4.p,33,522,234685,1017,234173,16,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD050-4.p,38,549,220843,928,220437,11,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD095-1.p,37,877,202637,1055,202437,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD022-1.p,32,836,192108,1256,191671,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD099-4.p,35,519,225863,995,225366,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD067-4.p,32,512,239247,1074,238672,19,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD049-4.p,38,552,223654,935,223244,11,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD033-3.p,31,506,243786,1106,243176,21,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD051-4.p,44,581,220956,862,220637,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD067-3.p,30,497,241005,1108,240384,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD070-3.p,31,501,237382,1090,236782,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD055-1.p,33,851,196164,1300,195697,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD001-3.p,30,510,256653,1122,256034,23,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD050-1.p,35,856,198544,1043,198337,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD062-1.p,31,832,189784,1514,189086,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD011-1.p,30,819,180000,1592,179212,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD077-4.p,37,533,216448,938,216019,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD053-2.p,48,853,210017,685,210146,9,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD037-3.p,31,498,233022,1082,232426,19,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD012-3.p,31,497,231495,1097,230884,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD089-1.p,31,832,182376,1596,181596,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD070-2.p,34,863,198455,1303,197996,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD086-1.p,31,835,183230,1597,182452,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD073-3.p,31,492,230188,1085,229584,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD020-1.p,31,820,185776,1433,185147,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD059-4.p,31,504,240346,1092,239747,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD030-3.p,31,488,215363,1013,214823,16,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD082-1.p,33,839,189428,1457,188792,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD026-3.p,31,520,260031,1136,259408,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD077-2.p,38,855,183106,825,183113,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD021-3.p,30,498,240754,1094,240148,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD008-3.p,29,493,241312,1110,240686,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD067-2.p,33,851,196315,1300,195848,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD072-1.p,32,838,190173,1495,189499,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD038-3.p,31,488,220005,1042,219438,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD076-2.p,38,892,205059,870,205058,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD023-1.p,31,831,189680,1514,188981,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD098-2.p,42,917,199064,792,199162,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD098-3.p,31,501,238244,1092,237642,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD021-1.p,31,834,190834,1533,190119,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD057-3.p,27,478,251937,1180,251234,26,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD060-1.p,31,835,191068,1533,190354,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD054-3.p,31,499,232956,1096,232348,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD031-1.p,31,804,175674,1565,174897,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD008-2.p,34,859,198866,1080,198626,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD082-3.p,32,514,247058,1112,246448,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD033-1.p,32,835,191075,1505,190388,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD041-2.p,34,851,196752,1256,196328,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD091-1.p,31,821,179887,1584,179108,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD048-4.p,43,576,220109,859,219789,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD004-1.p,31,830,190836,1514,190136,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD092-3.p,30,496,245738,1132,245096,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD102-1.p,26,472,250728,1179,250021,26,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD035-3.p,34,524,229408,1008,228904,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD060-4.p,34,547,260926,1090,260368,19,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD030-4.p,33,523,236159,1028,235639,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD061-3.p,33,517,235197,1064,234635,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD071-1.p,32,841,190708,1495,190037,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD051-3.p,34,537,244523,1088,243956,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD080-1.p,29,835,183439,1631,182629,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD074-1.p,33,852,196181,1294,195721,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD009-3.p,30,490,230823,1095,230208,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD041-1.p,32,835,192047,1489,191376,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD098-4.p,41,576,226861,868,226535,7,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD059-3.p,29,487,240149,1116,239514,23,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD078-2.p,35,854,193743,1218,193359,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD053-1.p,34,861,202542,1102,202282,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD046-3.p,29,479,228794,1094,228170,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD066-3.p,35,543,242616,1017,242123,16,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD026-1.p,32,830,188547,1463,187897,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD075-2.p,37,886,203719,879,203704,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD101-1.p,27,828,177535,1840,176511,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD050-2.p,39,888,189405,825,189444,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD012-1.p,32,837,193405,1524,192701,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD095-4.p,46,585,219864,855,219554,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD015-3.p,30,486,226640,1060,226054,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD030-1.p,32,846,195750,1306,195273,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD090-1.p,30,835,183016,1617,182219,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD053-4.p,47,592,223616,854,223313,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD059-1.p,30,837,183056,1614,182264,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD073-4.p,33,515,237660,1068,237092,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD044-4.p,31,502,233787,1070,233206,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD024-1.p,31,827,188164,1489,187486,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD068-1.p,31,833,189840,1508,189149,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD091-3.p,30,500,252457,1156,251795,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD089-3.p,30,501,254421,1160,253757,25,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD036-1.p,33,851,197750,1306,197277,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD051-1.p,35,866,204098,1099,203845,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD040-3.p,29,492,245056,1117,244422,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD035-1.p,33,848,196602,1294,196138,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD094-1.p,31,837,183720,1605,182936,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD029-1.p,35,870,202850,1105,202595,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD083-1.p,33,840,190909,1479,190252,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD012-2.p,36,873,203522,1093,203281,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD006-3.p,27,469,237151,1136,236481,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD099-3.p,31,499,243936,1117,243309,22,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD067-1.p,31,830,189267,1505,188576,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD076-4.p,37,534,215838,932,215415,12,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD078-3.p,32,508,239511,1094,238913,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD075-1.p,33,851,196303,1300,195836,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-1.p,33,840,190172,1463,189531,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD025-3.p,33,536,254286,1086,253722,19,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD032-3.p,30,490,237317,1106,236692,21,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD049-1.p,35,867,203174,1099,202922,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD092-1.p,31,830,181728,1594,180948,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD083-3.p,32,510,244707,1112,244093,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD093-1.p,31,856,188946,1658,188128,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD047-3.p,32,514,239069,1099,238472,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD060-2.p,35,873,202468,1108,202213,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD071-3.p,31,494,229991,1085,229389,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD100-1.p,32,834,188860,1479,188198,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD100-3.p,31,507,248818,1117,248199,22,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD099-1.p,32,843,182995,1604,182217,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD063-3.p,30,503,249757,1129,249125,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD047-2.p,39,924,212102,853,212149,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD050-3.p,34,523,226973,1018,226458,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD041-4.p,33,526,242016,1056,241471,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD081-2.p,40,934,206840,851,206898,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD012-4.p,35,531,228989,1009,228490,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD100-2.p,42,930,202100,804,202199,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD041-3.p,31,521,257536,1127,256920,21,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD009-1.p,31,830,190924,1514,190224,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD005-1.p,30,827,190064,1533,189343,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD061-1.p,34,869,202662,1120,202392,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD063-1.p,31,831,189412,1508,188719,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD068-4.p,32,519,247118,1089,246536,20,Time Out
